"Fecha","Fecha banco","Nombre","Tipo","Grupo","Importe","Pagado","No contar","Notas"
"2024-04-06","2024-04-06","Costco","Ropa","Gasto","-32","Sí","No",""
"2024-04-05","2024-04-05","Carrefour","Comida Diaria","Gasto","-3.15","Sí","No",""
"2024-04-05","2024-04-05","Devolucion Nothing ear","Capricho","Devolución","119","Sí","No",""
"2024-04-04","2024-04-04","Come fuera con Estos","Comida Fuera","Gasto","-21","Sí","No",""
"2024-04-03","2024-04-03","Chino","Comida Diaria","Gasto","-2.55","Sí","No",""
"2024-04-02","2024-04-02","Chino","Comida Diaria","Gasto","-6.7","Sí","No",""
"2024-03-31","2024-03-31","Adaptador Internet y tile que devolveré","Otros Casa","Devolución","19.99","Sí","No",""
"2024-03-31","2024-03-31","Ajuste","Otros Vida Diaria","Gasto","-20.6","Sí","No",""
"2024-03-30","2024-03-30","Devolver taxi y tren a ana","Préstamo Hecho","Gasto","-96.21","Sí","No",""
"2024-03-30","2024-03-30","Compartido Marzo","Otros Vida Diaria","Gasto","-650","Sí","No",""
"2024-03-30","2024-03-30","Pago a Ana por la BODA","Otros Vida Diaria","Gasto","-650","Sí","No",""
"2024-03-29","2024-03-29","Para Boda","Ahorro","Devolución","150","Sí","No",""
"2024-03-29","2024-03-29","Nómina Marzo","Salario","Ingreso","2041.2","Sí","No",""
"2024-03-28","2024-03-28","Gasolina","Gasolina","Gasto","-62.49","Sí","No",""
"2024-03-26","2024-03-26","Saladar","Otros Vida Diaria","Gasto","-1.4","Sí","No",""
"2024-03-25","2024-03-25","Noray","Otros Vida Diaria","Gasto","-92.9","Sí","No",""
"2024-03-25","2024-03-25","Mercadona","Otros Vida Diaria","Gasto","-21.45","Sí","No",""
"2024-03-25","2024-03-25","Saladar","Otros Vida Diaria","Gasto","-7.09","Sí","No",""
"2024-03-22","2024-03-22","Carnaval","Otros Vida Diaria","Gasto","-56.45","Sí","No",""
"2024-03-21","2024-03-21","Para pagar el Gas","Otros Vida Diaria","Gasto","-76","Sí","No",""
"2024-03-21","2024-03-21","Kiwoko","Otros Vida Diaria","Gasto","-40.19","Sí","No",""
"2024-03-21","2024-03-21","Pago Petronela","Otros Vida Diaria","Gasto","-120","Sí","No",""
"2024-03-21","2024-03-21","Olor del coche","Otros Transporte","Gasto","-7.89","Sí","No",""
"2024-03-21","2024-03-21","Adaptador Internet y tile que devolveré","Otros Casa","Gasto","-29.98","Sí","No",""
